PassengerId	Survived	Pclass	Age	SibSp	Parch	Fare	Embarked
1	0	3	0.740762748	1	0	0.014151058	0
2	1	1	1.279499292	1	0	0.139135735	1
3	1	3	0.875446884	0	0	0.01546857	0
4	1	1	1.17848619	1	0	0.103644297	0
5	0	3	1.17848619	0	0	0.015712554	0
6	0	3	0	0	0	0.016509502	2
7	0	1	1.818235836	0	0	0.101228858	0
8	0	3	0.067342068	3	1	0.04113566	0
9	1	3	0.909117918	0	2	0.021730754	0
10	1	2	0.471394476	1	0	0.058694293	1
11	1	3	0.134684136	1	1	0.032596229	0
12	1	1	1.952919972	0	0	0.051822149	0
13	0	3	0.67342068	0	0	0.015712554	0
14	0	3	1.313170326	1	5	0.061044735	0
15	0	3	0.471394476	0	0	0.015330377	0
16	1	2	1.85190687	0	0	0.03122992	0
17	0	3	0.067342068	4	1	0.056848214	2
18	1	2	0	0	0	0.02537431	0
19	0	3	1.043802054	1	0	0.03513366	0
20	1	3	0	0	0	0.014102261	1
21	0	2	1.17848619	0	0	0.05074862	0
22	1	2	1.144815156	0	0	0.02537431	0
23	1	3	0.50506551	0	0	0.015671955	2
24	1	1	0.942788952	0	0	0.069291385	0
25	0	3	0.269368272	3	1	0.04113566	0
26	1	3	1.279499292	1	5	0.06126432	0
27	0	3	0	0	0	0.014102261	1
28	0	1	0.639749646	3	2	0.513341812	0
29	1	3	0	0	0	0.015379174	2
30	0	3	0	0	0	0.015411575	0
31	0	1	1.34684136	0	0	0.054107398	1
32	1	1	0	1	0	0.285989555	1
33	1	3	0	0	0	0.015126993	2
34	0	2	2.222288244	0	0	0.020494635	0
35	0	1	0.942788952	1	0	0.16038672	1
36	0	1	1.414183428	1	0	0.10149724	0
37	1	3	0	0	0	0.014110459	1
38	0	3	0.707091714	0	0	0.015712554	0
39	0	3	0.606078612	2	0	0.03513366	0
40	1	3	0.471394476	1	0	0.021942337	1
41	0	3	1.34684136	1	0	0.018493968	0
42	0	2	0.909117918	1	0	0.04098927	0
43	0	3	0	0	0	0.015411575	1
44	1	2	0.101013102	1	2	0.081157193	1
45	1	3	0.639749646	0	0	0.015379174	2
46	0	3	0	0	0	0.015712554	0
47	0	3	0	1	0	0.030253985	2
48	1	3	0	0	0	0.015126993	2
49	0	3	0	2	0	0.04231498	1
50	0	3	0.606078612	1	0	0.034743286	0
51	0	3	0.235697238	4	1	0.077464841	0
52	0	3	0.707091714	0	0	0.015224586	0
53	1	1	1.649880666	1	0	0.149765424	1
54	1	2	0.976459986	1	0	0.05074862	0
55	0	1	2.18861721	0	1	0.120975342	1
56	1	1	0	0	0	0.069291385	0
57	1	2	0.707091714	0	0	0.020494635	0
58	0	3	0.959624469	0	0	0.014110459	1
59	1	2	0.16835517	1	2	0.054164393	0
60	0	3	0.370381374	5	2	0.091542703	0
61	0	3	0.740762748	0	0	0.014110459	1
62	1	1	1.279499292	0	0	0.156149601	0
63	0	1	1.51519653	1	0	0.162932349	0
64	0	3	0.134684136	3	2	0.054457173	0
65	0	1	0	0	0	0.054107398	1
66	1	3	0	1	1	0.02975782	1
67	1	2	0.976459986	0	0	0.020494635	0
68	0	3	0.639749646	0	0	0.015923941	0
69	1	3	0.572407578	4	2	0.01546857	0
70	0	3	0.875446884	2	0	0.016908074	0
71	0	2	1.077473088	0	0	0.020494635	0
72	0	3	0.538736544	5	2	0.091542703	0
73	0	2	0.707091714	0	0	0.143462446	0
74	0	3	0.875446884	1	0	0.028212719	1
75	1	3	1.077473088	0	0	0.110272458	0
76	0	3	0.84177585	0	0	0.014931806	0
77	0	3	0	0	0	0.015411575	0
78	0	3	0	0	0	0.015712554	0
79	1	2	0.027946958	0	2	0.05660423	0
80	1	3	1.01013102	0	0	0.024349578	0
81	0	3	0.740762748	0	0	0.01756683	0
82	1	3	0.976459986	0	0	0.018542765	0
83	1	3	0	0	0	0.015200188	2
84	0	1	0.942788952	0	0	0.091933077	0
85	1	2	0.572407578	0	0	0.020494635	0
86	1	3	1.111144122	3	0	0.03093714	0
87	0	3	0.538736544	1	3	0.067095532	0
88	0	3	0	0	0	0.015712554	0
89	1	1	0.774433782	3	2	0.513341812	0
90	0	3	0.808104816	0	0	0.015712554	0
91	0	3	0.976459986	0	0	0.015712554	0
92	0	3	0.67342068	0	0	0.015330377	0
93	0	1	1.548867564	1	0	0.119405648	0
94	0	3	0.875446884	1	2	0.040159725	0
95	0	3	1.986591006	0	0	0.014151058	0
96	0	3	0	0	0	0.015712554	0
97	0	1	2.390643414	0	0	0.067640494	1
98	1	1	0.774433782	0	1	0.123667166	1
99	1	2	1.144815156	0	1	0.04489301	0
100	0	2	1.144815156	1	0	0.05074862	0
101	0	3	0.942788952	0	0	0.015411575	0
102	0	3	0	0	0	0.015411575	0
103	0	1	0.707091714	0	1	0.150855153	0
104	0	3	1.111144122	0	0	0.016891873	0
105	0	3	1.245828258	2	0	0.01546857	0
106	0	3	0.942788952	0	0	0.015411575	0
107	1	3	0.707091714	0	0	0.014931806	0
108	1	3	0	0	0	0.015175789	0
109	0	3	1.279499292	0	0	0.015411575	0
110	1	3	0	1	0	0.047137661	2
111	0	1	1.582538598	0	0	0.10149724	0
112	0	3	0.488229993	1	0	0.028212719	1
113	0	3	0.740762748	0	0	0.015712554	0
114	0	3	0.67342068	1	0	0.019177123	0
115	0	3	0.572407578	0	0	0.028220722	1
116	0	3	0.707091714	0	0	0.01546857	0
117	0	3	2.373807897	0	0	0.015126993	2
118	0	2	0.976459986	1	0	0.04098927	0
119	0	1	0.808104816	0	1	0.483128426	1
120	0	3	0.067342068	4	2	0.061044735	0
121	0	2	0.707091714	2	0	0.143462446	0
122	0	3	0	0	0	0.015712554	0
123	0	2	1.094308605	1	0	0.058694293	1
124	1	2	1.094308605	0	0	0.02537431	0
125	0	1	1.818235836	0	1	0.150855153	0
126	1	3	0.404052408	1	0	0.021942337	1
127	0	3	0	0	0	0.015126993	2
128	1	3	0.808104816	0	0	0.01393967	0
129	1	3	0	1	1	0.043640495	1
130	0	3	1.51519653	0	0	0.013614293	0
131	0	3	1.111144122	0	0	0.015411575	1
132	0	3	0.67342068	0	0	0.013760684	0
133	0	3	1.582538598	1	0	0.028302115	0
134	1	2	0.976459986	1	0	0.05074862	0
135	0	2	0.84177585	0	0	0.02537431	0
136	0	2	0.774433782	0	0	0.029367446	1
137	1	1	0.639749646	0	2	0.051301585	0
138	0	1	1.245828258	1	0	0.103644297	0
139	0	3	0.538736544	0	0	0.0179898	0
140	0	1	0.808104816	0	0	0.154588105	1
141	0	3	0	0	2	0.02975782	1
142	1	3	0.740762748	0	0	0.015126993	0
143	1	3	0.808104816	1	0	0.03093714	0
144	0	3	0.639749646	0	0	0.013175123	2
145	0	2	0.606078612	0	0	0.022446505	0
146	0	2	0.639749646	1	1	0.071731223	0
147	1	3	0.909117918	0	0	0.015216388	0
148	0	3	0.303039306	2	2	0.067095532	0
149	0	2	1.228992741	0	2	0.05074862	0
150	0	2	1.414183428	0	0	0.02537431	0
